seed,method,minU,gap,pidist,pirms,spear,topk,ndcg,mse,auc,time
29,qSGLD,296.7827385853971,1.687248231398371,0.3967686731512631,0.012546927113608889,0.8253478413478414,0.8504347826086956,0.8762986752790481,2.097660592191815,0.9153800511508952,0.5395987033843994
29,cycSGLD,301.3730439007403,6.277553546741558,3.888033927791038,0.12295042831830316,0.7391244431244433,0.8347826086956521,0.8526839914572822,2.0115496652021148,0.8676624040920716,0.29569411277770996
29,SGHMC,314.5269149422157,19.43142458821694,5.528113107277099,0.1748142858202637,0.11146455946455947,0.6104347826086957,0.6346121199196931,2.2847908333008937,0.5571560102301789,0.2990741729736328
29,AWSGLD,296.09728972135997,1.0017993673612295,0.3082237040313098,0.009746889335925612,0.8355644835644837,0.8521739130434782,0.8774233568197747,2.0999385848842365,0.92163273657289,0.7097716331481934
30,SGLD,632.4527373897844,293.4544658028079,8.098397169762494,0.2560938045311077,0.016351600351600354,0.5299625468164794,0.5256467448895985,2.9615752845577905,0.5109144685023549,0.29700660705566406
30,qSGLD,340.6896918699168,1.691420282940328,0.3967346847196501,0.012545852305028948,0.793921021921022,0.8220973782771536,0.8450241408266466,2.437049069511624,0.9044783076947807,0.5209498405456543
30,cycSGLD,345.0153538151372,6.017082228160689,3.7133822721681145,0.11742745802942525,0.7405284325284326,0.8146067415730337,0.8304637489052624,2.1254123443847166,0.8766134606420086,0.29744648933410645
30,SGHMC,357.8518482962143,18.853576709237814,5.357353298939051,0.1694143865486433,0.2774909174909175,0.6479400749063671,0.6723596149927025,2.292411371641146,0.6477230714825352,0.2988762855529785
30,AWSGLD,339.99940001778646,1.0011284308099562,0.3109199248532717,0.009832151324647324,0.8146592866592867,0.8352059925093633,0.8565549661542308,2.423870840765169,0.9145207439198856,0.7125680446624756
31,SGLD,619.6650364938553,294.1028054942456,7.9764848349636415,0.2522385980027739,0.07947965547965549,0.5658627087198516,0.571987931555014,2.811841522762627,0.5387054841656639,0.29489660263061523
31,qSGLD,327.1906368518465,1.628405852236824,0.3959733878078614,0.012521777982859902,0.8164159324159325,0.8608534322820037,0.876423873528562,2.2301929281504087,0.9214782738179083,0.5195667743682861
31,cycSGLD,331.0075371824888,5.445306182879165,3.57689397524123,0.1131113191069621,0.6796658476658477,0.7903525046382189,0.7941726129804081,1.9752879607487257,0.8514119905505093,0.2971012592315674
31,SGHMC,343.30443776882584,17.742206769216182,5.160753483354337,0.16319735450047562,0.4463826023826024,0.6957328385899815,0.6987997742320047,2.1402396927025165,0.7258762309893391,0.29994726181030273
31,AWSGLD,326.56636300074535,1.0041320011357016,0.30946626889726153,0.009786182687094707,0.8242985002985003,0.8552875695732839,0.872912799848389,2.217826525995058,0.9238446709782314,0.6933238506317139
32,SGLD,609.251684853669,291.6268187467762,8.140922815955571,0.2574385835405136,-0.005633369633369634,0.5670289855072463,0.5700928986874861,3.0195351723545873,0.5121473861283644,0.2957756519317627
32,qSGLD,319.3208076700981,1.6959415632053378,0.3967309955102766,0.01254573564198509,0.823027183027183,0.875,0.8936879558869091,2.3067955292059716,0.9374272127329192,0.5329165458679199
32,cycSGLD,323.7212678314371,6.096401724544364,3.811426456569464,0.1205278873698434,0.7373303693303694,0.842391304347826,0.8550526925005052,2.092371498179107,0.8990723667184265,0.2981431484222412
32,SGHMC,336.5762955158459,18.951429408953175,5.461214709076345,0.17269877271895082,0.1750837030837031,0.6195652173913043,0.6330448726105883,2.363569530711104,0.6034630564182195,0.29849720001220703
32,AWSGLD,318.6253284623371,1.0004623554443697,0.305446844805761,0.00965907733698176,0.8310828990828991,0.875,0.8938893335746214,2.3150951679651093,0.9410301824534163,0.7128312587738037
33,SGLD,635.096147706141,292.8770541053829,7.999462808628345,0.2529652253307322,0.0768919848919849,0.5921985815602837,0.6076621105822914,2.8543536888112016,0.5462375561194612,0.29389286041259766
33,qSGLD,343.91809585987494,1.6990022591168668,0.40294736947785387,0.012742314647234312,0.8028222108222108,0.8670212765957447,0.8840079385355809,2.0858481308557346,0.923954063374325,0.5101473331451416
